id,commission,notes,status,currency,,,
4236147,-0.999,Commission adjustment for order 58593,APPROVED,USD,,,
4236147,-1.698,Commission adjustment for order 58726,APPROVED,USD,,,
4278456,-1.698,Commission adjustment for order 55643,APPROVED,USD,,,
4278456,-0.999,Commission adjustment for order 56652,APPROVED,USD,,,
4278456,-3.396,Commission adjustment for order 57186,APPROVED,USD,,,
4278456,-0.999,Commission adjustment for order 57575,APPROVED,USD,,,
4278456,-2.798,Commission adjustment for order 57705,APPROVED,USD,,,
4278456,-3.297,Commission adjustment for order 58211,APPROVED,USD,,,
4278456,-2.598,Commission adjustment for order 58585,APPROVED,USD,,,
4336645,-4.597,Commission adjustment for order 55009,APPROVED,USD,,,
4336645,-0.999,Commission adjustment for order 55361,APPROVED,USD,,,
4336645,-1.998,Commission adjustment for order 55495,APPROVED,USD,,,
4336645,-1.398,Commission adjustment for order 56442,APPROVED,USD,,,
4336645,-4.797,Commission adjustment for order 56513,APPROVED,USD,,,
4336645,-1.797,Commission adjustment for order 56719,APPROVED,USD,,,
4336645,-2.598,Commission adjustment for order 56893,APPROVED,USD,,,
4336645,-5.196,Commission adjustment for order 57243,APPROVED,USD,,,
4336645,-0.999,Commission adjustment for order 57820,APPROVED,USD,,,
4336645,-0.999,Commission adjustment for order 58441,APPROVED,USD,,,
4336645,-2.296,Commission adjustment for order 58625,APPROVED,USD,,,
4336645,-3.393,Commission adjustment for order 58654,APPROVED,USD,,,
3836115,-0.999,Commission adjustment for order 55127,APPROVED,USD,,,
3836115,-0.999,Commission adjustment for order 56437,APPROVED,USD,,,
3836115,-0.999,Commission adjustment for order 56903,APPROVED,USD,,,
3836115,-2.598,Commission adjustment for order 57039,APPROVED,USD,,,
3836115,-4.297,Commission adjustment for order 58260,APPROVED,USD,,,
3854875,-0.999,Commission adjustment for order 54847,APPROVED,USD,,,
3854875,-2.598,Commission adjustment for order 55227,APPROVED,USD,,,
3854875,-0.999,Commission adjustment for order 56673,APPROVED,USD,,,
3854975,-0.999,Commission adjustment for order 55590,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 54805,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 54830,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 54997,APPROVED,USD,,,
3923631,-4.597,Commission adjustment for order 55047,APPROVED,USD,,,
3923631,-2.296,Commission adjustment for order 55050,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 55187,APPROVED,USD,,,
3923631,-30.926,Commission adjustment for order 55197,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 55203,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 55212,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 55241,APPROVED,USD,,,
3923631,-6.787,Commission adjustment for order 55256,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 55262,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 55351,APPROVED,USD,,,
3923631,-3.597,Commission adjustment for order 55379,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 55402,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 55404,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 55420,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 55486,APPROVED,USD,,,
3923631,-1.229,Commission adjustment for order 55686,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 55750,APPROVED,USD,,,
3923631,-2.354,Commission adjustment for order 55932,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 55980,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 56193,APPROVED,USD,,,
3923631,-2.598,Commission adjustment for order 56272,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 56521,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 56576,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 56615,APPROVED,USD,,,
3923631,-2.598,Commission adjustment for order 56738,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 56784,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 56820,APPROVED,USD,,,
3923631,-2.598,Commission adjustment for order 56832,APPROVED,USD,,,
3923631,-4.895,Commission adjustment for order 56870,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 56936,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 56972,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 56984,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 57001,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57021,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57060,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57093,APPROVED,USD,,,
3923631,-2.496,Commission adjustment for order 57129,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57133,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 57199,APPROVED,USD,,,
3923631,-2.496,Commission adjustment for order 57236,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57351,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57373,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 57395,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57463,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57474,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 57553,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57561,APPROVED,USD,,,
3923631,-18.723,Commission adjustment for order 57571,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57634,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57657,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57684,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57718,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57730,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57753,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 57915,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 57970,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58105,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 58145,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 58151,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58175,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58179,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 58267,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58356,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58509,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 58539,APPROVED,USD,,,
3923631,-1.698,Commission adjustment for order 58567,APPROVED,USD,,,
3923631,-1.998,Commission adjustment for order 58652,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58701,APPROVED,USD,,,
3923631,-2.598,Commission adjustment for order 58787,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58793,APPROVED,USD,,,
3923631,-2.598,Commission adjustment for order 58824,APPROVED,USD,,,
3923631,-0.999,Commission adjustment for order 58825,APPROVED,USD,,,
4185141,-0.999,Commission adjustment for order 55029,APPROVED,USD,,,
4263969,-4.297,Commission adjustment for order 57185,APPROVED,USD,,,
4354539,-0.999,Commission adjustment for order 58284,APPROVED,USD,,,
3833525,-1.4985,Commission adjustment for order 57780,APPROVED,USD,,,
3833525,-1.4985,Commission adjustment for order 58254,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 54468,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 55070,APPROVED,USD,,,
3891917,-5.7405,Commission adjustment for order 55599,APPROVED,USD,,,
3891917,-3.276,Commission adjustment for order 55788,APPROVED,USD,,,
3891917,-3.276,Commission adjustment for order 55797,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 55807,APPROVED,USD,,,
3891917,-5.6745,Commission adjustment for order 55811,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 55842,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 55851,APPROVED,USD,,,
3891917,-5.6745,Commission adjustment for order 55852,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 55895,APPROVED,USD,,,
3891917,-5.3955,Commission adjustment for order 55962,APPROVED,USD,,,
3891917,-6.8865,Commission adjustment for order 55981,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56025,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56070,APPROVED,USD,,,
3891917,-3.0735,Commission adjustment for order 56077,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 56089,APPROVED,USD,,,
3891917,-7.428,Commission adjustment for order 56174,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56216,APPROVED,USD,,,
3891917,-4.491,Commission adjustment for order 56253,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 56295,APPROVED,USD,,,
3891917,-3.276,Commission adjustment for order 56368,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56399,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56401,APPROVED,USD,,,
3891917,-3.0735,Commission adjustment for order 56554,APPROVED,USD,,,
3891917,-3.276,Commission adjustment for order 56689,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56761,APPROVED,USD,,,
3891917,-3.0735,Commission adjustment for order 56775,APPROVED,USD,,,
3891917,-5.6745,Commission adjustment for order 56864,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 56900,APPROVED,USD,,,
3891917,-3.0735,Commission adjustment for order 56919,APPROVED,USD,,,
3891917,-3.531,Commission adjustment for order 56966,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 56981,APPROVED,USD,,,
3891917,-3.276,Commission adjustment for order 56994,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 57003,APPROVED,USD,,,
3891917,-2.844,Commission adjustment for order 57206,APPROVED,USD,,,
3891917,-7.794,Commission adjustment for order 57218,APPROVED,USD,,,
3891917,-2.6955,Commission adjustment for order 57354,APPROVED,USD,,,
3891917,-3.276,Commission adjustment for order 57393,APPROVED,USD,,,
3891917,-3.0735,Commission adjustment for order 57551,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 57658,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 57678,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 57750,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 57834,APPROVED,USD,,,
3891917,-2.8485,Commission adjustment for order 57878,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 57960,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 58078,APPROVED,USD,,,
3891917,-3.897,Commission adjustment for order 58125,APPROVED,USD,,,
3891917,-1.4985,Commission adjustment for order 58161,APPROVED,USD,,,
3891917,-3.897,Commission adjustment for order 58238,APPROVED,USD,,,
3891917,-3.897,Commission adjustment for order 58294,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 58326,APPROVED,USD,,,
3891917,-1.947,Commission adjustment for order 58330,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 58395,APPROVED,USD,,,
3891917,-7.428,Commission adjustment for order 58440,APPROVED,USD,,,
3891917,-3.897,Commission adjustment for order 58580,APPROVED,USD,,,
3891917,-3.897,Commission adjustment for order 58587,APPROVED,USD,,,
3891917,-9.1395,Commission adjustment for order 58644,APPROVED,USD,,,
3891917,-2.997,Commission adjustment for order 58769,APPROVED,USD,,,
3891917,-2.547,Commission adjustment for order 58806,APPROVED,USD,,,
4054979,-1.4985,Commission adjustment for order 57667,APPROVED,USD,,,
4054979,-6.141,Commission adjustment for order 57697,APPROVED,USD,,,
4054979,-8.094,Commission adjustment for order 57702,APPROVED,USD,,,
4054979,-4.3455,Commission adjustment for order 57757,APPROVED,USD,,,
4054979,-1.947,Commission adjustment for order 57765,APPROVED,USD,,,
4054979,-1.4985,Commission adjustment for order 57857,APPROVED,USD,,,
4054979,-1.4985,Commission adjustment for order 57971,APPROVED,USD,,,
4054979,-2.997,Commission adjustment for order 58065,APPROVED,USD,,,
4054979,-1.947,Commission adjustment for order 58188,APPROVED,USD,,,
4054979,-6.4455,Commission adjustment for order 58345,APPROVED,USD,,,
3829527,-1.998,Commission adjustment for order 56752,APPROVED,USD,,,
3829527,-5.196,Commission adjustment for order 58195,APPROVED,USD,,,
3829527,-1.998,Commission adjustment for order 58641,APPROVED,USD,,,
4310696,-1.998,Commission adjustment for order 55897,APPROVED,USD,,,
4310696,-3.396,Commission adjustment for order 57198,APPROVED,USD,,,
4310696,-3.996,Commission adjustment for order 58583,APPROVED,USD,,,
